Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
United States of America,Americas,41831507,12637.82,891358,269.29,0,669412,202.24,13269,4.01,0
India,South-East Asia,33504534,2427.86,214955,15.58,26115,445385,32.27,2172,0.16,252
Brazil,Americas,21239783,9992.4,240004,112.91,9458,590752,277.92,3901,1.84,244
The United Kingdom,Europe,7465452,10997.04,208889,307.71,35702,135252,199.23,991,1.46,49
Russian Federation,Europe,7313851,5011.74,137766,94.4,19179,199808,136.92,5559,3.81,812
Turkey,Europe,6874947,8151.56,192083,227.75,27688,61805,73.28,1688,2,231
France,Europe,6746400,10372.8,45626,70.15,180,113909,175.14,363,0.56,20
Iran (Islamic Republic of),Eastern Mediterranean,5442232,6479.39,123905,147.52,17397,117526,139.92,2767,3.29,344
Argentina,Americas,5239232,11592.31,14698,32.52,622,114428,253.18,1026,2.27,61
Colombia,Americas,4941064,9710.66,10815,21.25,1813,125895,247.42,248,0.49,35
Spain,Europe,4935534,10427.34,16362,34.57,546,85901,181.48,168,0.35,6
Italy,Europe,4638516,7777.33,29311,49.15,2405,130354,218.56,399,0.67,44
Indonesia,South-East Asia,4195958,1534.04,21742,7.95,3263,140805,51.48,1390,0.51,171
Germany,Europe,4150516,4990.6,61040,73.39,4664,93052,111.89,366,0.44,81
Mexico,Americas,3569677,2768.63,57795,44.83,4983,271503,210.58,3755,2.91,200
Poland,Europe,2899008,7637.38,4553,11.99,709,75503,198.91,70,0.18,15
South Africa,Africa,2884134,4862.92,23299,39.28,1504,86216,145.37,1214,2.05,42
Philippines,Western Pacific,2385616,2177.03,137606,125.57,18937,36934,33.7,1627,1.48,146
Ukraine,Europe,2355805,5386.7,34649,79.23,5159,55056,125.89,599,1.37,137
Peru,Americas,2167008,6572.3,5922,17.96,589,199006,603.56,242,0.73,30
Malaysia,Western Pacific,2112175,6525.91,116404,359.65,14345,23744,73.36,2620,8.09,301
Netherlands,Europe,1986241,11410.2,13687,78.63,1370,18123,104.11,50,0.29,9
Iraq,Eastern Mediterranean,1978412,4918.67,23443,58.28,3192,21869,54.37,319,0.79,47
Czechia,Europe,1686851,15773.9,3041,28.44,489,30442,284.67,16,0.15,4
Japan,Western Pacific,1679116,1327.61,34673,27.41,2405,17233,13.63,387,0.31,29
Chile,Americas,1647746,8619.63,3206,16.77,277,37367,195.47,114,0.6,8
Canada,Americas,1569186,4157.65,21999,58.29,0,27370,72.52,172,0.46,0
Bangladesh,South-East Asia,1545800,938.62,11360,6.9,1562,27277,16.56,270,0.16,26
Thailand,South-East Asia,1500105,2149.15,93563,134.04,10919,15612,22.37,991,1.42,143
Israel,Europe,1227972,14187.12,40445,467.27,0,7541,87.12,108,1.25,0
Pakistan,Eastern Mediterranean,1226008,555.03,18500,8.38,2167,27246,12.33,459,0.21,40
Belgium,Europe,1224885,10630.43,11094,96.28,4,25517,221.45,36,0.31,1
Romania,Europe,1158841,5995.4,32259,166.9,6789,35721,184.81,589,3.05,129
Sweden,Europe,1144982,11086.63,5439,52.66,0,14775,143.06,7,0.07,0
Portugal,Europe,1062354,10318.21,6312,61.31,306,17914,173.99,48,0.47,7
Kazakhstan,Europe,936954,4989.98,18746,99.84,0,15503,82.57,472,2.51,0
Morocco,Eastern Mediterranean,920374,2493.52,15727,42.61,2248,13958,37.82,412,1.12,82
Serbia,Europe,872110,12590.55,48949,706.67,6424,7808,112.72,233,3.36,38
Switzerland,Europe,823582,9516.1,9551,110.36,4,10576,122.2,20,0.23,0
Hungary,Europe,818520,8378.3,2669,27.32,289,30141,308.52,39,0.4,5
Jordan,Eastern Mediterranean,814676,7984.57,7292,71.47,1075,10624,104.12,76,0.74,8
Cuba,Americas,809911,7150.51,56367,497.65,8544,6856,60.53,483,4.26,60
Nepal,South-East Asia,786577,2699.6,7085,24.32,1036,11053,37.93,69,0.24,5
United Arab Emirates,Eastern Mediterranean,733003,7411.26,3485,35.24,313,2077,21,13,0.13,2
Austria,Europe,721832,8109.5,13957,156.8,1162,10678,119.96,51,0.57,7
Tunisia,Eastern Mediterranean,700807,5929.69,5401,45.7,407,24553,207.75,279,2.36,26
Viet Nam,Western Pacific,695744,714.77,71197,73.14,8681,17305,17.78,1645,1.69,215
Greece,Europe,632908,5904.78,16143,150.61,2124,14505,135.33,282,2.63,39
Lebanon,Eastern Mediterranean,618580,9062.85,5082,74.46,918,8240,120.72,48,0.7,8
Georgia,Europe,598396,15000.5,13360,334.91,2470,8621,216.11,334,8.37,46
Saudi Arabia,Eastern Mediterranean,546612,1570.1,545,1.57,63,8667,24.9,39,0.11,6
Guatemala,Americas,529422,2955.09,17965,100.28,0,13040,72.79,286,1.6,0
Belarus,Europe,518369,5485.78,13408,141.89,1941,4016,42.5,87,0.92,12
Costa Rica,Americas,509139,9994.64,15160,297.6,1627,6023,118.23,218,4.28,32
Ecuador,Americas,507003,2873.67,1725,9.78,29,32661,185.12,213,1.21,6
Sri Lanka,South-East Asia,506009,2363.07,15052,70.29,0,12218,57.06,651,3.04,0
Bolivia (Plurinational State of),Americas,497100,4258.54,2065,17.69,150,18659,159.85,72,0.62,5
Bulgaria,Europe,484546,6970.4,11276,162.21,2360,20166,290.1,505,7.26,138
Azerbaijan,Europe,473459,4669.6,12210,120.42,740,6327,62.4,193,1.9,22
Panama,Americas,464288,10760.44,2064,47.84,250,7172,166.22,35,0.81,2
Paraguay,Americas,459650,6444.41,359,5.03,28,16128,226.12,26,0.36,2
Myanmar,South-East Asia,449845,826.77,13318,24.48,1687,17202,31.62,509,0.94,73
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,416351,8161.48,14478,283.8,3909,4203,82.39,104,2.04,26
Kuwait,Eastern Mediterranean,411233,9629.46,449,10.51,109,2440,57.14,9,0.21,2
Slovakia,Europe,403802,7398.52,4584,83.99,880,12580,230.49,18,0.33,7
Croatia,Europe,393285,9691.2,8229,202.78,1037,8526,210.09,70,1.72,12
Uruguay,Americas,387627,11158.81,926,26.66,72,6048,174.11,8,0.23,0
Ireland,Europe,376517,7584.28,8995,181.19,1150,5179,104.32,24,0.48,0
Honduras,Americas,357654,3610.99,6775,68.4,0,9491,95.82,172,1.74,0
Dominican Republic,Americas,355378,3276,1836,16.92,228,4029,37.14,11,0.1,2
Venezuela (Bolivarian Republic of),Americas,355061,1248.63,7414,26.07,822,4301,15.13,98,0.34,10
Denmark,Europe,354913,6095.27,2115,36.32,268,2630,45.17,16,0.27,2
Ethiopia,Africa,333698,290.26,9983,8.68,737,5164,4.49,197,0.17,34
Libya,Eastern Mediterranean,332026,4832.08,6805,99.04,1081,4517,65.74,76,1.11,16
Lithuania,Europe,317852,11375.87,7997,286.21,1157,4837,173.12,116,4.15,27
Oman,Eastern Mediterranean,303459,5942.46,296,5.8,36,4093,80.15,4,0.08,0
Egypt,Eastern Mediterranean,297608,290.82,4160,4.07,679,16992,16.6,107,0.1,22
Republic of Korea,Western Pacific,289263,564.2,13354,26.05,1729,2413,4.71,46,0.09,4
Slovenia,Europe,283770,13539.54,7309,348.73,291,4824,230.17,16,0.76,2
Republic of Moldova,Europe,282650,7006.76,7092,175.81,950,6605,163.73,69,1.71,10
Mongolia,Western Pacific,280735,8563.46,19831,604.92,2543,1059,32.3,83,2.53,13
Bahrain,Eastern Mediterranean,274383,16125.24,640,37.61,119,1388,81.57,0,0,0
Armenia,Europe,254436,8586.43,4633,156.35,494,5161,174.17,127,4.29,18
Kenya,Africa,246643,458.69,2714,5.05,113,4995,9.29,72,0.13,6
Qatar,Eastern Mediterranean,235626,8178.47,853,29.61,139,604,20.96,0,0,0
Bosnia and Herzegovina,Europe,227579,6936.66,5418,165.14,324,10287,313.55,222,6.77,44
Zambia,Africa,208502,1134.15,542,2.95,33,3639,19.79,6,0.03,1
Nigeria,Africa,202191,98.08,2653,1.29,393,2661,1.29,42,0.02,6
Algeria,Africa,201766,460.12,1465,3.34,166,5709,13.02,113,0.26,15
North Macedonia,Europe,187068,8979.06,3363,161.42,154,6472,310.65,195,9.36,12
Norway,Europe,182915,3407.77,4656,86.74,318,841,15.67,6,0.11,0
Puerto Rico,Americas,179197,6263.76,2109,73.72,203,3076,107.52,73,2.55,2
Kyrgyzstan,Europe,177869,2726.3,561,8.6,89,2592,39.73,16,0.25,2
Botswana,Africa,173788,7390.12,8144,346.31,1536,2354,100.1,17,0.72,11
Uzbekistan,Europe,169467,506.34,4046,12.09,529,1197,3.58,33,0.1,5
Albania,Europe,163404,5678.09,5968,207.38,451,2587,89.9,39,1.36,7
Kosovo[1],Europe,159112,8860.89,1894,105.48,48,2895,161.22,96,5.35,6
Afghanistan,Eastern Mediterranean,154712,397.43,532,1.37,127,7199,18.49,28,0.07,0
Latvia,Europe,151243,7928.13,3455,181.11,494,2658,139.33,37,1.94,13
Estonia,Europe,150605,11332.41,3248,244.4,463,1333,100.3,20,1.5,5
Mozambique,Africa,150067,480.13,808,2.59,49,1903,6.09,9,0.03,0
Finland,Europe,137117,2481.62,2812,50.89,860,1051,19.02,0,0,0
Zimbabwe,Africa,128186,862.45,1787,12.02,248,4569,30.74,26,0.17,2
Namibia,Africa,126900,4994.28,559,22,192,3471,136.6,35,1.38,5
